% RED - I CORPS
35, 5,  0, 0, 1
36, 4,  0, 0, 2
36, 5,  0, 0, 3
37, 4,  0, 0, 4
37, 5,  0, 0, 5
35, 4,  1, 0, 1
38, 4,  5, 0, 1

% RED - II CORPS
30, 20,  0, 0, 6
29, 19,  0, 0, 7
30, 19,  0, 0, 8
29, 18,  0, 0, 9
30, 18,  0, 0, 10
29, 20,  1, 0, 2
30, 17,  5, 0, 2

% RED - III CORPS
15, 20,  0, 0, 11
15, 19,  0, 0, 12
16, 19,  0, 0, 13
15, 18,  0, 0, 14
16, 18,  0, 0, 15
16, 20,  1, 0, 3
15, 17,  5, 0, 3

% RED - IV CORPS
5, 10,   0, 0, 16
6, 10,   0, 0, 17
5,  9,   0, 0, 18
6,  9,   0, 0, 19
5,  8,   0, 0, 20
5, 11,   1, 0, 4
6,  8,   5, 0, 4

% RED - REPLACEMENT
24, 5,  0, 0, 21
25, 5,  0, 0, 22
24, 4,  0, 0, 23
25, 4,  0, 0, 24
24, 3,  0, 0, 25
24, 6,  1, 0, 5
25, 6,  1, 0, 6

% RED - I ARMY
29, 14,  2, 0, 1
28, 14,  3, 0, 1
29, 13,  4, 0, 1
28, 13,  6, 0, 1

% RED - II ARMY
18, 17,  2, 0, 2
19, 17,  3, 0, 2
18, 16,  4, 0, 2
19, 16,  6, 0, 2

% RED - ARMY GROUP HQ
29, 3,  7, 0, 1

% RED TOTAL UNITS = (7 x 5) + (4 x 2) + 1 = 44
% -----------------------

% BLUE - I CORPS
35, 48,  0, 1, 1
36, 48,  0, 1, 2
36, 49,  0, 1, 3
37, 48,  0, 1, 4
37, 49,  0, 1, 5
35, 49,  1, 1, 1
38, 49,  5, 1, 1

% BLUE - II CORPS
28, 34,  0, 1, 6
29, 34,  0, 1, 7
28, 35,  0, 1, 8
29, 35,  0, 1, 9
28, 36,  0, 1, 10
28, 33,  1, 1, 2
29, 36,  5, 1, 2

% BLUE - III CORPS
15, 31,  0, 1, 11
15, 32,  0, 1, 12
16, 32,  0, 1, 13
15, 33,  0, 1, 14
16, 33,  0, 1, 15
16, 31,  1, 1, 3
16, 34,  5, 1, 3

% BLUE - IV CORPS
6, 45,  0, 1, 16
7, 45,  0, 1, 17
6, 46,  0, 1, 18
7, 46,  0, 1, 19
6, 47,  0, 1, 20
6, 44,  1, 1, 4
7, 47,  5, 1, 4

% BLUE - REPLACEMENTS
14, 50,  0, 1, 21
15, 50,  0, 1, 22
14, 51,  0, 1, 23
15, 51,  0, 1, 24
15, 52,  0, 1, 25
14, 49,  1, 1, 5
15, 49,  1, 1, 6

% BLUE - I ARMY
30, 39,  2, 1, 1
31, 39,  3, 1, 1
30, 40,  4, 1, 1
31, 40,  6, 1, 1

% BLUE - II ARMY
15, 36,  2, 1, 2
16, 36,  3, 1, 2
15, 37,  4, 1, 2
16, 37,  6, 1, 2

% BLUE - ARMY GROUP
19, 42,  7, 1, 1

% BLUE TOTAL UNITS = (7 x 5) + (4 x 2) + 1 = 44
% -----------------------


% 0 - INFANTRY
% 1 - ARMOR
% 2 - AIRBORNE
% 3 - AMPHIB
% 4 - MOUNTAIN
% 5 - CORPS_HQ
% 6 - ARMY_HQ
% 7 - ARMYGROUP_HQ
%
% 0 - RED
% 1 - BLUE
